Title,Author,Year,Language,CoverType,Links,Price,Discount
Healing Power of Illness,"Thorwald Dethlefsen, Ruediger Dahlke, Peter Lemesurier",2016.0,English,Paperback,https://www.libristo.pl/book/the-healing-power-of-illness.html,94.34,2
Better Never to Have Been,David Benetar,2008.0,English,Paperback,https://www.libristo.pl/book/better-never-to-have-been.html,179.48,0
"Nkjv, Reference Bible, Compact, Leathersoft, Brown, Red Letter Edition, Comfort Print: Holy Bible, New King James Version",-,2020.0,English,Book,https://www.libristo.pl/book/nkjv-reference-bible-compact-leathersoft-brown-red-letter-edition-comfort-print-holy-bible-new-king-james-version_25289365.html,125.85,0
Book of Enoch,R H Charles,2007.0,English,Paperback,https://www.libristo.pl/book/book-of-enoch-1329593.html,39.76,16
Your Money or Your Life - Economy & Religion in The Middle Ages,Jacques Le Goff,1990.0,English,Paperback,https://www.libristo.pl/book/your-money-or-your-life-4763128.html,98.52,2
Myths of Light,Joseph Campbell,2012.0,English,Paperback,https://www.libristo.pl/book/myths-of-light-5090687.html,81.15,2
Bible Unearthed,Israel Finkelstein,2002.0,English,Paperback,https://www.libristo.pl/book/bible-unearthed.html,94.72,6
ESV Global Study Bible,-,2018.0,English,Hardback,https://www.libristo.pl/book/esv-global-study-bible-19735531.html,78.49,16
Art of Communicating,Thich Nhat Hanh,2013.0,English,Paperback,https://www.libristo.pl/book/art-of-communicating.html,52.1,23
"KJV, Holy Bible, Soft Touch Edition, Leathersoft, Black, Comfort Print",Thomas Nelson,2018.0,English,Hardback,https://www.libristo.pl/book/kjv-holy-bible-soft-touch-edition-imitation-leather-black-comfort-print.html,59.69,1
Genesis,Michel Serres,1997.0,English,Paperback,https://www.libristo.pl/book/genesis-6334781.html,143.32,0
Cynic Philosophers,Robert Dobbin,2012.0,English,Paperback,https://www.libristo.pl/book/cynic-philosophers.html,68.24,16
Flint Knapping,Robert Turner,2013.0,English,Paperback,https://www.libristo.pl/book/flint-knapping.html,80.01,14
The Essential Philosophical Works,"David Hume, Charlotte R. Brown, William Edward Morris",2011.0,English,Paperback,https://www.libristo.pl/book/essential-philosophical-works.html,26.38,3
Fear and Trembling,"Søren Kierkegaard, Alastair Hannay",2005.0,English,Paperback,https://www.libristo.pl/book/fear-and-trembling-4025733.html,37.29,16
The Great Depression: A Diary,"James Ledbetter, Benjamin Roth, Daniel Roth",2010.0,English,Paperback,https://www.libristo.pl/book/great-depression-4825084.html,90.54,6
Delirious New York,Rem Koolhaas,1997.0,English,Paperback,https://www.libristo.pl/book/delirious-new-york.html,164.11,2
Higher Call,Adam Makos,2014.0,English,Paperback,https://www.libristo.pl/book/a-higher-call.html,54.0,14
ESV Economy Bible,-,2017.0,English,Paperback,https://www.libristo.pl/book/esv-economy-bible-15974190.html,22.2,15
Made In America,Bill Bryson,2016.0,English,Paperback,https://www.libristo.pl/book/made-in-america-10044235.html,54.0,14
Art of War,TZU  SUN,2017.0,English,Hardback,https://www.libristo.pl/book/the-art-of-war-10008986.html,52.1,24
Mindfulness in Plain English,Bhante Gunaratana,2011.0,English,Paperback,https://www.libristo.pl/book/mindfulness-in-plain-english.html,57.99,16
Society of the Spectacle,Guy Debord,1992.0,English,Paperback,https://www.libristo.pl/book/society-of-the-spectacle-8040861.html,53.43,0
Anti-Oedipus,Gilles Deleuze,2009.0,English,Paperback,https://www.libristo.pl/book/anti-oedipus-9153088.html,107.44,5
A History Of Scotland,Neil Oliver,2010.0,English,Paperback,https://www.libristo.pl/book/history-of-scotland.html,57.99,16
Thus Spake Zarathustra,Friedrich Nietzsche,1997.0,English,Paperback,https://www.libristo.pl/book/thus-spake-zarathustra.html,26.38,3
Tao: The Watercourse Way,Alan Watts,2019.0,English,Paperback,https://www.libristo.pl/book/tao-the-watercourse-way_22559653.html,52.86,16
Imperialism: The Highest Stage of Capitalism,Vladimir Lenin,2010.0,English,Paperback,https://www.libristo.pl/book/imperialism-4027479.html,37.29,16
